year;month;day;day_of_week;gender;births
1994;1;1;6;F;8096
1994;1;2;7;M;7772
1994;1;3;1;F;10142
1994;1;4;2;M;11248
1994;1;5;3;F;11053
1994;1;6;4;M;11406
1994;1;7;5;F;11251
1994;1;8;6;M;8653
1994;1;9;7;F;7910
1994;1;10;1;M;10498
1994;1;11;2;F;11706
1994;1;12;3;M;11567
1994;1;13;4;F;11212
1994;1;14;5;M;11570
1994;1;15;6;F;8660
1994;1;16;7;M;8123
1994;1;17;1;F;10567
1994;1;18;2;M;11541
1994;1;19;3;F;11257
1994;1;20;4;M;11682
1994;1;21;5;F;11811
1994;1;22;6;M;8833
1994;1;23;7;F;8310
1994;1;24;1;M;11125
1994;1;25;2;F;11981
1994;1;26;3;M;11514
1994;1;27;4;F;11702
1994;1;28;5;M;11666
1994;1;29;6;F;8988
1994;1;30;7;M;8096
1994;1;31;1;F;10765
1994;2;1;2;M;11755
1994;2;2;3;F;11483
1994;2;3;4;M;11523
1994;2;4;5;F;11677
1994;2;5;6;M;8991
1994;2;6;7;F;8309
1994;2;7;1;M;10984
1994;2;8;2;F;12152
1994;2;9;3;M;11515
1994;2;10;4;F;11623
1994;2;11;5;M;11517
1994;2;12;6;F;8945
1994;2;13;7;M;8171
1994;2;14;1;F;11551
1994;2;15;2;M;12164
1994;2;16;3;F;12009
1994;2;17;4;M;11674
1994;2;18;5;F;11887
1994;2;19;6;M;8946
1994;2;20;7;F;8402
1994;2;21;1;M;10617
1994;2;22;2;F;11810
1994;2;23;3;M;11776
1994;2;24;4;F;11667
1994;2;25;5;M;11905
1994;2;26;6;F;8988
1994;2;27;7;M;8195
1994;2;28;1;F;11091
1994;3;1;2;M;12127
1994;3;2;3;F;11735
1994;3;3;4;M;11984
1994;3;4;5;F;12066
1994;3;5;6;M;9215
1994;3;6;7;F;8389
1994;3;7;1;M;10996
1994;3;8;2;F;12275
1994;3;9;3;M;11780
1994;3;10;4;F;11792
1994;3;11;5;M;11939
1994;3;12;6;F;9087
1994;3;13;7;M;8248
1994;3;14;1;F;11092
1994;3;15;2;M;12298
1994;3;16;3;F;11865
1994;3;17;4;M;11976
1994;3;18;5;F;11799
1994;3;19;6;M;8944
1994;3;20;7;F;8243
1994;3;21;1;M;11140
1994;3;22;2;F;11964
1994;3;23;3;M;11637
1994;3;24;4;F;11904
1994;3;25;5;M;11568
1994;3;26;6;F;8957
1994;3;27;7;M;8189
1994;3;28;1;F;11051
1994;3;29;2;M;12154
1994;3;30;3;F;11540
1994;3;31;4;M;11782
1994;4;1;5;F;10630
1994;4;2;6;M;8782
1994;4;3;7;F;7530
1994;4;4;1;M;10909
1994;4;5;2;F;11876
1994;4;6;3;M;11811
1994;4;7;4;F;11718
1994;4;8;5;M;11532
1994;4;9;6;F;8791
1994;4;10;7;M;8183
1994;4;11;1;F;11060
1994;4;12;2;M;12146
1994;4;13;3;F;11428
1994;4;14;4;M;11709
1994;4;15;5;F;11753
1994;4;16;6;M;8790
1994;4;17;7;F;7867
1994;4;18;1;M;11094
1994;4;19;2;F;11966
1994;4;20;3;M;11585
1994;4;21;4;F;11509
1994;4;22;5;M;11553
1994;4;23;6;F;8613
1994;4;24;7;M;8089
1994;4;25;1;F;10909
1994;4;26;2;M;12236
1994;4;27;3;F;11701
1994;4;28;4;M;11527
1994;4;29;5;F;11474
1994;4;30;6;M;8621
1994;5;1;7;F;8145
1994;5;2;1;M;11169
1994;5;3;2;F;12023
1994;5;4;3;M;11754
1994;5;5;4;F;11958
1994;5;6;5;M;11904
1994;5;7;6;F;8641
1994;5;8;7;M;8203
1994;5;9;1;F;10914
1994;5;10;2;M;11771
1994;5;11;3;F;11278
1994;5;12;4;M;11822
1994;5;13;5;F;11085
1994;5;14;6;M;8830
1994;5;15;7;F;8253
1994;5;16;1;M;11103
1994;5;17;2;F;12289
1994;5;18;3;M;11668
1994;5;19;4;F;11411
1994;5;20;5;M;11645
1994;5;21;6;F;8830
1994;5;22;7;M;8449
1994;5;23;1;F;11434
1994;5;24;2;M;12562
1994;5;25;3;F;12005
1994;5;26;4;M;11979
1994;5;27;5;F;12132
1994;5;28;6;M;8840
1994;5;29;7;F;8205
1994;5;30;1;M;8468
1994;5;31;2;F;11525
1994;6;1;3;M;12349
1994;6;2;4;F;12166
1994;6;3;5;M;11799
1994;6;4;6;F;9182
1994;6;5;7;M;8289
1994;6;6;1;F;11130
1994;6;7;2;M;12145
1994;6;8;3;F;11784
1994;6;9;4;M;11648
1994;6;10;5;F;12006
1994;6;11;6;M;8618
1994;6;12;7;F;8171
1994;6;13;1;M;10692
1994;6;14;2;F;12074
1994;6;15;3;M;11954
1994;6;16;4;F;11852
1994;6;17;5;M;11744
1994;6;18;6;F;8907
1994;6;19;7;M;8302
1994;6;20;1;F;11337
1994;6;21;2;M;12182
1994;6;22;3;F;12213
1994;6;23;4;M;11939
1994;6;24;5;F;11979
1994;6;25;6;M;9047
1994;6;26;7;F;8306
1994;6;27;1;M;11309
1994;6;28;2;F;12211
1994;6;29;3;M;12245
1994;6;30;4;F;12157
1994;7;1;5;M;12454
1994;7;2;6;F;9268
1994;7;3;7;M;8298
1994;7;4;1;F;8564
1994;7;5;2;M;11609
1994;7;6;3;F;13086
1994;7;7;4;M;13049
1994;7;8;5;F;12623
